LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2282,2282,14,-1.0,102.80517704998955,165.2985166951502,0.0,3555.0,237,5.0,1,,147.2368148914162,146.0,66.0,252.0,996646.0,25.95473472013525,103.73201359137259,103.0,0.0,255.0,702162.0,37.40542027324155,-1.131359951651938E-4,-0.0012837479223342984,0.030488894791194154,0.1640992631759176
ID2279,2279,14,-1.0,112.97851141082965,160.50251621075415,0.0,705.0,47,5.0,1,,141.37464913576594,141.0,84.0,204.0,956965.0,15.459050851194124,106.60466834096806,103.0,0.0,255.0,721607.0,36.774024995553454,-0.023487089600793907,-0.43991616950910983,0.04304578427427823,0.23927223421760918
ID2289,2289,15,-1.0,119.8091787673937,166.4611834792462,0.0,3555.0,237,5.0,1,,147.45073127493254,149.0,61.0,212.0,998094.0,30.045866776557595,110.07933224996098,103.0,0.0,255.0,745127.0,42.68045820739138,-0.004947449567361126,-0.04880086812921635,0.05277436639939843,0.2585797045205549
ID2286,2286,15,-1.0,131.29051326034184,164.5718499550902,0.0,810.0,54,5.0,1,,146.50258531540626,146.0,79.0,199.0,991676.0,16.824018755512572,105.72314965283071,103.0,0.0,255.0,715640.0,34.542187311498104,-0.0013325661241215482,-0.023238785174412774,0.045815748626603085,0.26816979720130835
ID2296,2296,16,-1.0,117.62917854721368,157.8865159465381,0.0,3555.0,237,5.0,1,,150.46299305658505,152.0,60.0,195.0,1018484.0,29.109861044187667,102.66656817846169,95.0,0.0,255.0,694950.0,43.34781271387553,-0.00600960354785463,-0.06250045719109001,0.040426966907460934,0.18405660681528593
ID2293,2293,16,-1.0,127.07584616799382,153.96251555021408,0.0,1485.0,99,5.0,1,,146.16088048455853,146.0,73.0,187.0,989363.0,20.832134012118736,97.86187029103668,95.0,0.0,255.0,662427.0,30.87205697711009,-0.0012549070574218622,-0.017631298117186986,0.031042422338853157,0.19087849788127978
ID2352,2352,17,-1.0,60.113506071464116,42.38283761399993,0.0,3090.0,206,5.0,1,,134.48367557985105,132.0,79.0,205.0,910320.0,18.611837083757575,89.95966907963076,87.0,0.0,255.0,608937.0,31.646923645907535,-0.05103478153601174,-0.7771883621921222,0.037871171355074264,0.20744913812416693
ID2345,2345,17,-1.0,62.00283959562014,39.91217069779591,0.0,855.0,57,5.0,1,,141.4941645737928,139.0,84.0,210.0,957774.0,21.266677572797416,87.1204018318819,79.0,0.0,255.0,589718.0,35.00564981524322,-0.014760232869966413,-0.19935179692220253,0.04270525407690338,0.20385974177496521
ID2348,2348,17,-1.0,59.0961726353801,38.7495039136999,0.0,3075.0,205,5.0,1,,141.88801890973699,139.0,71.0,255.0,960440.0,24.033938272348934,84.77648101639923,79.0,0.0,255.0,573852.0,31.5850170207894,-0.004907454911472307,-0.05822957558033526,0.031805532301936335,0.1654737397380164
ID2342,2342,17,-1.0,63.02017303170414,39.185503957735904,0.0,0.0,0,5.0,1,,147.81237996749732,147.0,84.0,217.0,1000542.0,20.534227763281717,87.33343182154088,79.0,0.0,255.0,591160.0,38.62030351300458,0.023751642478393262,0.3340115358588969,0.055734028569426636,0.23875955201788782
ID2360,2360,18,-1.0,62.72950633568014,47.90550483845599,0.0,960.0,64,5.0,1,,146.3084650613064,146.0,81.0,222.0,990362.0,19.32771502551636,94.02348943714185,83.0,0.0,255.0,636445.0,44.07369993747944,0.02058167566593304,0.3053176421992943,0.06819985188759597,0.27240668928874684
ID2363,2363,18,-1.0,62.00283959562014,49.213504970564,0.0,1650.0,110,5.0,1,,150.93130447629042,149.0,79.0,222.0,1021654.0,24.949283830989902,92.4130595361232,83.0,0.0,255.0,625544.0,41.5676146856256,0.04928241019463386,0.5682648376538356,0.05858055470365869,0.24605818057403192
ID2357,2357,18,-1.0,64.03750646778815,48.777504926527996,0.0,435.0,29,5.0,1,,151.17269906928792,149.0,84.0,225.0,1023288.0,24.197086243625265,96.43743536711789,87.0,0.0,255.0,652785.0,43.78354464409402,0.04674452486688657,0.5579950447479467,0.06826029793601635,0.2814853657175466
ID2367,2367,18,-1.0,60.98550615953612,49.50417166658801,0.0,1665.0,111,5.0,1,,151.42280986851952,151.0,78.0,240.0,1024981.0,25.233601040616495,93.21524597429736,87.0,0.0,255.0,630974.0,42.61052480624344,0.048495993850851384,0.5551126864928416,0.06525799596085664,0.2680272758662581
ID2377,2377,19,-1.0,88.3081755857924,65.63617329592017,0.0,2760.0,184,5.0,1,,145.60067956861954,146.0,73.0,217.0,985571.0,23.05600014235224,96.47126606589111,95.0,7.0,231.0,653014.0,31.20475604503367,-0.002423541362244752,-0.030684120230970828,0.05319424747635732,0.3122938079151872
ID2371,2371,19,-1.0,96.73750977048849,61.42150620357213,0.0,0.0,0,5.0,1,,152.48485743832273,154.0,84.0,224.0,1032170.0,21.459114658664646,92.80617521052169,87.0,4.0,255.0,628205.0,35.22214142739079,0.03049565534788815,0.4205684782926259,0.028073863658760568,0.1439027129907419
ID2374,2374,19,-1.0,95.57484298639248,61.85750624760813,0.0,360.0,24,5.0,1,,152.36903530802238,154.0,83.0,225.0,1031386.0,21.896591504916742,96.90899689762497,91.0,0.0,255.0,655977.0,36.28514832654448,0.03126093368268462,0.4218747921631164,0.03185280455741122,0.1648903041577552
ID2382,2382,19,-1.0,88.5988422818164,63.74683977176416,0.0,3195.0,213,5.0,1,,143.43684443787924,142.0,88.0,212.0,970924.0,16.33442449585208,93.64647658443351,91.0,4.0,207.0,633893.0,27.10842269005489,-0.019796564072608738,-0.3546994210282773,0.04549139868929502,0.30062563735704767
